posicao,song_name,artista,ultima_semana,pico,semanas
1,Certified Lover Boy,Drake,-,1,1
2,Donda,Kanye West,-,1,1
3,Senjutsu,Iron Maiden,-,1,1
4,Sour,Olivia Rodrigo,-,1,1
5,Planet Her,Doja Cat,-,1,1
6,Dangerous: The Double Album,Morgan Wallen,-,1,1
7,Happier Than Ever,Billie Eilish,-,1,1
8,F*ck Love,The Kid LAROI,-,1,1
9,Mercury - Act 1,Imagine Dragons,-,1,1
10,SoulFly,Rod Wave,-,1,1
11,"If I Can't Have Love, I Want Power",Halsey,-,1,1
12,What You See Is What You Get,Luke Combs,-,1,1
13,King Of Killbranch,BIG30,-,1,1
14,Trip At Knight,Trippie Redd,-,1,1
15,Future Nostalgia,Dua Lipa,-,1,1
16,Shoot For The Stars Aim For The Moon,Pop Smoke,-,1,1
17,The Voice Of The Heroes,Lil Baby & Lil Durk,-,1,1
18,After Hours,The Weeknd,-,1,1
19,My Turn,Lil Baby,-,1,1
20,The Off-Season,J. Cole,-,1,1
21,Hollywood's Bleeding,Post Malone,-,1,1
22,Greatest Hits,Queen,-,1,1
23,Legends Never Die,Juice WRLD,-,1,1
24,Hall Of Fame,Polo G,-,1,1
25,A Gangsta's Pain,Moneybagg Yo,-,1,1
26,Justice,Justin Bieber,-,1,1
27,Goodbye & Good Riddance,Juice WRLD,-,1,1
28,This One's For You,Luke Combs,-,1,1
29,Fine Line,Harry Styles,-,1,1
30,Dreamland,Glass Animals,-,1,1
31,Folklore,Taylor Swift,-,1,1
32,We Love You Tecca 2,Lil Tecca,-,1,1
33,Rumours,Fleetwood Mac,-,1,1
34,Gold: Greatest Hits,ABBA,-,1,1
35,Country Stuff (EP),Walker Hayes,-,1,1
36,Hamilton: An American Musical,Original Broadway Cast,-,1,1
37,If I Know Me,Morgan Wallen,-,1,1
38,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,-,1,1
39,Diamonds,Elton John,-,1,1
40,Positions,Ariana Grande,-,1,1
41,Curtain Call: The Hits,Eminem,-,1,1
42,Tickets To My Downfall,Machine Gun Kelly,-,1,1
43,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,-,1,1
44,Free Dem Boyz,42 Dugg,-,1,1
45,ASTROWORLD,Travis Scott,-,1,1
46,Scorpion,Drake,-,1,1
47,Made In Lagos,Wizkid,-,1,1
48,Traveller,Chris Stapleton,-,1,1
49,The GOAT,Polo G,-,1,1
50,"good kid, m.A.A.d city",Kendrick Lamar,-,1,1
51,YHLQMDLG,Bad Bunny,-,1,1
52,The Highlights,The Weeknd,-,1,1
53,Back In Black,AC/DC,-,1,1
54,beerbongs & bentleys,Post Malone,-,1,1
55,Good Things,Dan + Shay,-,1,1
56,When It's All Said And Done... Take Time,Giveon,-,1,1
57,Starting Over,Chris Stapleton,-,1,1
58,Journey's Greatest Hits,Journey,-,1,1
59,Take Care,Drake,-,1,1
60,2014 Forest Hills Drive,J. Cole,-,1,1
61,Lover,Taylor Swift,-,1,1
62,Shiesty Season,Pooh Shiesty,-,1,1
63,Death Race For Love,Juice WRLD,-,1,1
64,Evermore,Taylor Swift,-,1,1
65,Still Sleep?,Sleepy Hallow,-,1,1
66,Dawn Of Chromatica,Lady Gaga,-,1,1
67,Inside (The Songs),Bo Burnham,-,1,1
68,Legend: The Best Of...,Bob Marley And The Wailers,-,1,1
69,Born Here Live Here Die Here,Luke Bryan,-,1,1
70,Timelezz,Jhay Cortez,-,1,1
71,Culture III,Migos,-,1,1
72,Shottaz 4Eva,MO3,-,1,1
73,Call Me If You Get Lost,"Tyler, The Creator",-,1,1
74,Khaled Khaled,DJ Khaled,-,1,1
75,÷ (Divide),Ed Sheeran,-,1,1
76,Vice Versa,Rauw Alejandro,-,1,1
77,Greatest Hits,Guns N' Roses,-,1,1
78,The Chaos Chapter : FREEZE,TOMORROW X TOGETHER,-,1,1
79,Greatest Hits,Tom Petty And The Heartbreakers,-,1,1
80,Starboy,The Weeknd,-,1,1
81,El Ultimo Tour del Mundo,Bad Bunny,-,1,1
82,Greatest Hits,2Pac,-,1,1
83,Over It,Summer Walker,-,1,1
84,Hot Pink,Doja Cat,-,1,1
85,Views,Drake,-,1,1
86,Faith,Pop Smoke,-,1,1
87,1989,Taylor Swift,-,1,1
88,Ctrl,SZA,-,1,1
